Locality,Average Price(Rs./Sq-ft)
Vijayanagar,"5,686"
Whitefield,"5,866"
Yelahanka,"5,064"
Yelahanka Dodda Ballapur Road,"3,799"
Yelahanka New Town,"4,895"
Yemalur,"7,173"
Yeshwanthpura,"8,025"
Basavanagudi,"10,108"
Basaveshvara Nagar,"6,908"
Begur,"4,668"
Begur Road,"4,844"
Bellandur,"6,443"
Bellary Road,"5,731"
Benson Town,"9,804"
Bhoganhalli,"6,325"
Bilekahalli,"4,864"
Binnypete,"9,073"
Bommanahalli,"4,653"
Brooke Field,"5,852"
BTM Layout,"5,590"
Budigere,"5,189"
Budigere Cross,"5,306"
C V Raman Nagar,"7,053"
AECS Layout,"6,452"
Akshayanagar,"5,284"
Ambalipura,"6,924"
Amrutahalli,"5,509"
Anchepalya,"5,235"
AnjanaPura,"4,264"
Arakere,"6,109"
Armane Nagar,"9,361"
Attibele,"3,352"
Babusahib Palya,"5,144"
Banashankari,"6,322"
Banashankari Stage 2,"8,929"
Banashankari Stage 3,"6,294"
Banashankari stage 6,"6,083"
Banaswadi,"5,494"
Bannerghatta,"6,185"
Bannerghatta Main Road,"5,024"
Chandapura,"3,665"
Chikkalasandra,"4,345"
Cooke Town,"9,062"
Cunningham Road,"16,949"
Devanahalli,"5,285"
Devarachikannahalli,"4,698"
Devasthanagalu,"5,475"
Doddaballapur Road,"4,930"
Doddakannelli,"5,425"
Doddanekundi,"5,355"
Doddathoguru,"3,695"
Dollars Colony-RMV Extension Stage 2,"9,834"
Domlur,"7,740"
ECC Road,"6,167"
Electronic City,"4,639"
Electronic City Phase 2,"4,706"
Electronics City Phase 1,"4,653"
Frazer Town,"9,290"
Gottigere,"5,109"
Gubbalala,"4,987"
Gunjur,"4,852"
Halasuru,"12,495"
Haralur Road,"6,587"
Harlur,"6,344"
HBR Layout,"5,258"
Hebbal,"7,895"
Hebbal Kempapura,"7,960"
Hegde Nagar,"5,818"
Hennur,"5,539"
Hennur Bagalur Road,"4,835"
Hennur Main Road,"5,591"
Hesaraghatta Main Road,"4,649"
Hoodi,"5,966"
Hoodi Circle,"6,702"
Hoodi Cirle,"6,398"
Horamavu,"4,562"
Horamavu Agara,"4,459"
Hosa Halli,"5,364"
Hosa Road,"5,004"
Hoskote,"3,375"
Hosur Road,"4,604"
HRBR Layout,"6,856"
HSR Layout,"6,917"
HSR Layout Sector 2,"5,910"
Hulimavu,"5,033"
Indira Nagar,"10,323"
ITPL,"6,784"
Jakkur,"5,589"
Jakkuru Layout,"5,733"
Jalahalli,"5,727"
Jalahalli West,"5,481"
Jayanagar,"11,436"
Jigani,"4,449"
JP Nagar,"5,657"
JP Nagar 9th Phase,"4,852"
JP Nagar Phase 1,"7,556"
JP Nagar Phase 5,"5,116"
JP Nagar Phase 6,"6,717"
JP Nagar Phase 7,"6,363"
JP Nagar Phase 8,"4,763"
K R Puram,"4,730"
Kadugodi,"4,759"
Kaggadasapura,"4,485"
Kalena Agrahara,"5,138"
Kalkere,"4,214"
Kalyan Nagar,"6,033"
Kanakapura Road,"5,267"
Kasavanahalli,"5,238"
Kasturi Nagar,"5,628"
Kengeri,"4,259"
Satellite Town,"4,285"
Kogilu,"5,409"
Konanakunte,"6,120"
Koramangala,"10,617"
Kothanur,"5,432"
Kudlu,"6,195"
Kudlu Gate,"6,544"
Kumaraswamy Layout,"4,774"
Kundalahalli,"5,713"
Magadi Road,"8,225"
Mahadevapura,"6,195"
Malleshwaram,"12,034"
Manyata Residency,"5,951"
Manyata Tech Park,"5,917"
Marathahalli,"6,281"
Marathahalli-Sarjapur Outer Ring Road,"7,332"
Murugeshpalya,"7,350"
Mysore Road,"4,753"
Nagarbhavi,"4,937"
Nagavara,"7,375"
Neeladri nagar,"4,396"
New International Airport Road,"5,546"
Old Airport Road,"7,900"
Old Madras Road,"4,876"
Outer Ring Road,"7,285"
Panathur,"5,905"
Peenya,"5,639"
Rachenahalli,"5,886"
Rajaji Nagar,"12,716"
Rajarajeshwari Nagar,"4,813"
Ramagondanahalli-Whitefield,"6,822"
Ramamurthy Nagar,"4,509"
Rayasandra,"4,165"
RBI Layout,"6,671"
Richmond Town,"10,806"
RMV Extension Stage 2,"9,625"
RT Nagar,"5,488"
Sadashiva Nagar,"16,813"
Sahakara Nagar,"6,356"
Sanjay Nagar,"7,672"
Sarjapur,"5,680"
Sarjapur Road,"5,871"
Sarjapur-Attibele Road,"4,056"
Seegehalli-K R Puram,"4,324"
Singasandra,"4,527"
Subramanyapura,"4,707"
Thanisandra,"5,983"
Thanisandra Main Road,"5,826"
Thubarahalli,"5,463"
Tumkur Road,"5,306"
Uttarahalli,"4,675"
Uttarahalli Main Road,"4,643"
Varthur,"5,446"
Vidyaranyapura,"5,564"
Vijayanagar,"5,686"
Whitefield,"5,866"
Yelahanka,"5,064"
Yelahanka Dodda Ballapur Road,"3,799"
Yelahanka New Town,"4,895"
Yemalur,"7,173"
Yeshwantpur,"8,025"
Adugodi,8858
Amruthalli,6242
Ashok Nagar,13168
Attiguppe,6643
Atturu,6645
Ayyappa Nagar,4549
Bagalakunte,4165
Binnipete,10471
Chamrajapet,8500
Hegganahalli,3362
Herohalli,4167
Jayanagar 5th Block,8709
Jayanagar 9th Block,6750
Kadugondanahalli,5000
Kodigehalli,9490
Kottanur,4839
Laggere,9000
Lingarajapura,5731
Marenahalli,3498
Maruthi Seva Nagar,6162
Muneshwara Nagar,3665
Nagasandra,7191
Nandini Layout,6471
Nayandahalli,5840
Nilasandra,6203
Padmanabha Nagar,6654
Rajajinagar Industrial Town,12716
Rajarajeshwarinagar,8523
RMV II Stage,1415
Shanthi Nagar,1679
Shivaji Nagar,10900
Srinagar,7750
T.Dasarahalli,7258
Vasanth pura,5000
Yelchenahalli,4333
Yeshwanthpura,8117
Agrahara Daasarahalli,11262
Basaveshwara Nagar,6970
Chandra Layout,3000
Chickpet,13000
Dasarahalli,4654
Ejipura,5972
Gandhinagar,12000
Hongasandra,3910
Hosahalli,5143
Hosakerehalli,4151
Jayamahal,10000
Kacharkanahalli,2000
Kanaka Nagar,6290
Karisandra,1800
Kempegowda Nagar,1500
Kuvempu Nagar,3000
Madivala,6000
Puttenahalli,3500
Vasanth Nagar,6163
Yediyur,1500
A Narayanapura,8490
Azad Nagar,9000
Bandepalya,5000
Bapuji Nagar,7000
Benniganahalli,7000
Bharathi Nagar,6000
Byrasandra,4000
Dattatreya Temple,7000
Hombegowda Nagar,7500
S K Garden,9800
Saddgunte Palya,6250
Sagayarapuram,8900
Sampangiram Nagar,8500
Sarakki,6000
Sarvagna Nagar,6000
Shakthi Ganapathi Nagar,8000
Shankar Nagar,7000
Shettihalli,3500
Shivanagar,6900
Siddapura,3500
Subhash Nagar,12000
Sudham Nagara,7500
Venkateshpura,3500
Vishveswarapuram,13000
